ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a State based table with the following filters applied: State(s) (All Years): All 50 + DC

State Name,State Name [State] 2018-19,Grades 1-8 Students [State] 2018-19,Grades 1-8 Students [State] 2017-18,Grades 1-8 Students [State] 2016-17,Grades 1-8 Students [State] 2015-16,Grades 1-8 Students [State] 2014-15,Grades 1-8 Students [State] 2013-14,Grades 1-8 Students [State] 2012-13,Grades 1-8 Students [State] 2011-12,Grade 8 Students [State] 2018-19,Grade 8 Students [State] 2017-18,Grade 8 Students [State] 2016-17,Grade 8 Students [State] 2015-16,Grade 8 Students [State] 2014-15,Grade 8 Students [State] 2013-14,Grade 8 Students [State] 2012-13,Grade 8 Students [State] 2011-12,Grade 7 Students [State] 2018-19,Grade 7 Students [State] 2017-18,Grade 7 Students [State] 2016-17,Grade 7 Students [State] 2015-16,Grade 7 Students [State] 2014-15,Grade 7 Students [State] 2013-14,Grade 7 Students [State] 2012-13,Grade 7 Students [State] 2011-12,Grade 6 Students [State] 2018-19,Grade 6 Students [State] 2017-18,Grade 6 Students [State] 2016-17,Grade 6 Students [State] 2015-16,Grade 6 Students [State] 2014-15,Grade 6 Students [State] 2013-14,Grade 6 Students [State] 2012-13,Grade 6 Students [State] 2011-12,Grade 5 Students [State] 2018-19,Grade 5 Students [State] 2017-18,Grade 5 Students [State] 2016-17,Grade 5 Students [State] 2015-16,Grade 5 Students [State] 2014-15,Grade 5 Students [State] 2013-14,Grade 5 Students [State] 2012-13,Grade 5 Students [State] 2011-12,Grade 4 Students [State] 2018-19,Grade 4 Students [State] 2017-18,Grade 4 Students [State] 2016-17,Grade 4 Students [State] 2015-16,Grade 4 Students [State] 2014-15,Grade 4 Students [State] 2013-14,Grade 4 Students [State] 2012-13,Grade 4 Students [State] 2011-12,Grade 3 Students [State] 2018-19,Grade 3 Students [State] 2017-18,Grade 3 Students [State] 2016-17,Grade 3 Students [State] 2015-16,Grade 3 Students [State] 2014-15,Grade 3 Students [State] 2013-14,Grade 3 Students [State] 2012-13,Grade 3 Students [State] 2011-12,Grade 2 Students [State] 2018-19,Grade 2 Students [State] 2017-18,Grade 2 Students [State] 2016-17,Grade 2 Students [State] 2015-16,Grade 2 Students [State] 2014-15,Grade 2 Students [State] 2013-14,Grade 2 Students [State] 2012-13,Grade 2 Students [State] 2011-12,Grade 1 Students [State] 2018-19,Grade 1 Students [State] 2017-18,Grade 1 Students [State] 2016-17,Grade 1 Students [State] 2015-16,Grade 1 Students [State] 2014-15,Grade 1 Students [State] 2013-14,Grade 1 Students [State] 2012-13,Grade 1 Students [State] 2011-12,Total Expenditures (TE11+E4D+E7A1) [State Finance] 2018-19,Total Expenditures (TE11+E4D+E7A1) [State Finance] 2017-18,Total Expenditures (TE11+E4D+E7A1) [State Finance] 2016-17,Total Expenditures (TE11+E4D+E7A1) [State Finance] 2015-16,Total Expenditures (TE11+E4D+E7A1) [State Finance] 2014-15,Total Expenditures (TE11+E4D+E7A1) [State Finance] 2013-14,Total Expenditures (TE11+E4D+E7A1) [State Finance] 2012-13,Total Expenditures (TE11+E4D+E7A1) [State Finance] 2011-12,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2018-19,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2017-18,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2016-17,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2015-16,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2014-15,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2013-14,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2012-13,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2011-12,Local Revenues (STR1+R2) per Pupil (MEMBR) [State Finance] 2018-19,Local Revenues (STR1+R2) per Pupil (MEMBR) [State Finance] 2017-18,Local Revenues (STR1+R2) per Pupil (MEMBR) [State Finance] 2016-17,Local Revenues (STR1+R2) per Pupil (MEMBR) [State Finance] 2015-16,Local Revenues (STR1+R2) per Pupil (MEMBR) [State Finance] 2014-15,Local Revenues (STR1+R2) per Pupil (MEMBR) [State Finance] 2013-14,Local Revenues (STR1+R2) per Pupil (MEMBR) [State Finance] 2012-13,Local Revenues (STR1+R2) per Pupil (MEMBR) [State Finance] 2011-12,State Revenues (R3) per Pupil (MEMBR) [State Finance] 2018-19,State Revenues (R3) per Pupil (MEMBR) [State Finance] 2017-18,State Revenues (R3) per Pupil (MEMBR) [State Finance] 2016-17,State Revenues (R3) per Pupil (MEMBR) [State Finance] 2015-16,State Revenues (R3) per Pupil (MEMBR) [State Finance] 2014-15,State Revenues (R3) per Pupil (MEMBR) [State Finance] 2013-14,State Revenues (R3) per Pupil (MEMBR) [State Finance] 2012-13,State Revenues (R3) per Pupil (MEMBR) [State Finance] 2011-12,Federal Revenues (STR4) per Pupil (MEMBR) [State Finance] 2018-19,Federal Revenues (STR4) per Pupil (MEMBR) [State Finance] 2017-18,Federal Revenues (STR4) per Pupil (MEMBR) [State Finance] 2016-17,Federal Revenues (STR4) per Pupil (MEMBR) [State Finance] 2015-16,Federal Revenues (STR4) per Pupil (MEMBR) [State Finance] 2014-15,Federal Revenues (STR4) per Pupil (MEMBR) [State Finance] 2013-14,Federal Revenues (STR4) per Pupil (MEMBR) [State Finance] 2012-13,Federal Revenues (STR4) per Pupil (MEMBR) [State Finance] 2011-12,Total Expenditures (TE11+E4D+E7A1) per Pupil (MEMBR) [State Finance] 2018-19,Total Expenditures (TE11+E4D+E7A1) per Pupil (MEMBR) [State Finance] 2017-18,Total Expenditures (TE11+E4D+E7A1) per Pupil (MEMBR) [State Finance] 2016-17,Total Expenditures (TE11+E4D+E7A1) per Pupil (MEMBR) [State Finance] 2015-16,Total Expenditures (TE11+E4D+E7A1) per Pupil (MEMBR) [State Finance] 2014-15,Total Expenditures (TE11+E4D+E7A1) per Pupil (MEMBR) [State Finance] 2013-14,Total Expenditures (TE11+E4D+E7A1) per Pupil (MEMBR) [State Finance] 2012-13,Total Expenditures (TE11+E4D+E7A1) per Pupil (MEMBR) [State Finance] 2011-12,Grades 9-12 Students [State] 2018-19,Grades 9-12 Students [State] 2017-18,Grades 9-12 Students [State] 2016-17,Grades 9-12 Students [State] 2015-16,Grades 9-12 Students [State] 2014-15,Grades 9-12 Students [State] 2013-14,Grades 9-12 Students [State] 2012-13,Grades 9-12 Students [State] 2011-12,Prekindergarten Students [State] 2018-19,Prekindergarten Students [State] 2017-18,Prekindergarten Students [State] 2016-17,Prekindergarten Students [State] 2015-16,Prekindergarten Students [State] 2014-15,Prekindergarten Students [State] 2013-14,Prekindergarten Students [State] 2012-13,Prekindergarten Students [State] 2011-12,Kindergarten Students [State] 2018-19,Kindergarten Students [State] 2017-18,Kindergarten Students [State] 2016-17,Kindergarten Students [State] 2015-16,Kindergarten Students [State] 2014-15,Kindergarten Students [State] 2013-14,Kindergarten Students [State] 2012-13,Kindergarten Students [State] 2011-12
ALABAMA,ALABAMA,451338,452552,452063,452764,454081,458327,458974,461122,55364,55226,55055,55792,57471,58799,58151,57919,55983,55600,55270,55172,56251,58455,59685,59050,57740,55711,55256,54900,54859,56428,58240,59082,58483,57928,55798,55340,55265,55699,56523,58415,57446,58541,57945,55808,55479,55719,55859,56491,55360,57526,58554,57963,56007,56003,55868,55991,54995,55606,57608,58766,58370,56909,56361,56315,55967,56414,56577,59023,60379,60315,58287,57859,8350629144,8172504226,8030224761,7856051026,7616860366,7591336635,7438871954,7229298957,11415,10792,10590,10200,9992,9913,9653,9534,3813,3627,3590,3485,3321,3341,3225,3125,6365,5971,5841,5578,5549,5448,5286,5284,1237,1194,1159,1138,1122,1124,1142,1126,11289,11008,10780,10562,10235,10173,9990,9709,216193,219387,222638,222182,221068,218705,217203,217615,17504,15520,14755,13230,11076,9415,9032,8282,54681,54985,55474,55613,57939,59757,59428,57602
ALASKA,ALASKA,80122,80836,80644,80011,79112,78835,79369,78849,9534,9478,9410,9400,9653,9677,9806,9527,9793,9741,9620,9512,9470,9736,9834,9924,10053,10007,9750,9648,9456,9518,9844,9901,10247,10229,10116,9793,9642,9543,9677,9891,10254,10398,10320,10118,9812,9722,9756,9667,10145,10409,10474,10441,10066,9902,9950,9835,10049,10331,10523,10512,10415,10208,10109,9961,10047,10243,10431,10587,10598,10529,10393,10143,2571458929,2531430221,2582582394,2620322119,2979916645,2736309357,2693660520,2486951164,19553,19038,18897,18851,22379,20447,20312,19034,4319,4131,4172,4331,4195,4044,3929,3993,12216,11887,12058,12184,15533,14018,13918,12343,3018,3020,2667,2337,2651,2384,2464,2699,19635,19052,19456,19779,22717,20897,20486,18960,37321,38254,38573,38688,38431,38230,38420,39110,3544,3586,3246,3369,3074,3247,3131,2755,9976,10196,10274,10409,10559,10632,10569,10453
ARIZONA,ARIZONA,692543,683794,694046,687144,687823,679992,671982,665998,88236,86287,86312,84084,84596,83849,82769,81294,89724,86544,86762,85222,84435,84315,83568,82879,90579,87512,87055,85202,85032,83495,83540,83150,90300,88849,88101,85719,85172,84535,83093,83185,86831,88092,89184,86594,85535,84282,83892,82566,83029,84933,88897,88194,86493,85149,83883,83546,81943,81200,85620,87325,88212,85814,84763,83843,81901,80377,82115,84804,88348,88553,86474,85535,11859148986,10918956756,10530825991,9997060510,9642675783,9453361783,9358342754,9179262392,10396,9697,9214,9293,8995,8703,8616,8613,4043,3920,3731,3852,3896,3786,3802,3819,5099,4571,4292,4266,3940,3825,3640,3522,1253,1206,1191,1175,1158,1092,1174,1272,10586,9956,9458,9086,8743,8575,8590,8497,347454,333079,339195,333579,331552,327144,321634,320807,21237,14124,9704,8747,8839,8791,9304,8860,79967,79520,79760,79396,83241,86258,86265,84433
ARKANSAS,ARKANSAS,298050,298543,297045,296050,295622,294621,292641,293926,36563,36631,36351,36882,36788,36660,36607,36339,36579,36431,36515,36245,36822,36876,36693,36832,38914,36305,36055,36020,36037,36564,36727,36592,38747,38844,35930,35850,36153,36146,36569,36856,37812,38800,38598,35893,35922,36321,36140,36662,36706,37797,38586,38410,35865,36090,36362,36452,36045,36915,37759,38590,38717,36244,36450,36702,36684,36820,37251,38160,39318,39720,37093,37491,6080405556,5807397981,5622673402,5572087208,5482962478,5363125241,5332362749,5393329896,11733,11592,11388,10939,10762,10478,10391,10939,4444,4320,4139,4082,3981,3829,3734,3854,6000,6021,5980,5589,5541,5440,5398,5638,1289,1251,1269,1269,1240,1209,1259,1447,12276,11706,11395,11322,11169,10946,10968,11164,143495,143487,143085,142242,141653,140185,138428,136959,16973,16827,16181,16083,14834,14984,14290,14466,36508,36942,36917,37509,38503,39900,40463,37305
CALIFORNIA,CALIFORNIA,3709434,3736210,3747077,3748465,3767745,3771067,3763810,3742708,477835,474828,472340,465322,467038,472381,465967,467626,487027,477308,473574,470753,464286,465592,470054,464260,471008,486261,475809,471467,469413,462125,463024,466942,467215,472202,487493,476427,472156,469645,462439,452305,448061,466660,471141,485885,475192,470515,468007,462082,455718,447253,465165,470157,485624,474323,470243,467539,454542,455523,445553,463881,469713,485674,474656,471993,448028,456175,456002,444573,464323,470812,489420,489961,101300011296,92975246437,87968217615,82409982269,75683277372,70427919666,67627778392,67933295353,16014,14535,13965,13606,11786,10985,10481,10590,5445,5104,4725,4369,3916,3660,3613,3294,9284,8213,8058,8084,6737,6225,5696,5967,1285,1218,1182,1153,1133,1100,1173,1329,16149,14748,13943,13071,11990,11157,10736,10932,1951086,1943939,1939323,1941009,1949755,1952314,1965168,1977069,86456,83853,80903,–,76641,75951,74360,73630,525758,531725,535379,530531,511985,506831,489274,488070
COLORADO,COLORADO,540621,543253,543056,541348,536632,528653,520184,513402,68034,67854,67659,65957,65116,63820,62260,61156,69442,67899,67541,67471,65641,64808,63658,62153,69982,69321,67638,67115,67032,65161,64448,63492,69948,69821,68757,67230,66613,66326,64727,64089,68232,69784,69376,68176,66809,66140,65921,64560,65957,67991,69225,69091,67829,66429,65667,65956,64977,65616,67480,68811,68687,67460,66134,65598,64049,64967,65380,67497,68905,68509,67369,66398,12609432592,11786907751,10632735501,10037993928,9690253136,9373238372,8782677627,8548412670,13562,12313,11713,11386,10984,10538,10312,10183,6973,6400,5848,5604,5162,5156,5138,4928,5794,5140,5085,4978,5009,4593,4360,4408,794,773,780,804,813,788,814,846,13833,12949,11749,11164,10900,10688,10170,10007,273778,270405,265500,260909,254643,249380,246051,243411,33728,33048,32452,32224,31663,31741,30375,31091,63409,63574,64011,64631,66068,67225,66951,66361
CONNECTICUT,CONNECTICUT,307612,310742,313686,315851,319247,321966,324906,328515,40280,40310,41128,40320,41165,41460,42020,42511,39829,40142,40119,40996,40200,41123,41533,41964,40257,39621,39820,39931,40856,40058,40979,41431,39048,40145,39417,39678,39843,40857,40196,41078,38172,38873,39859,39077,39699,39810,40895,40138,37019,38020,38651,39575,39062,39629,39867,40946,36610,36848,37815,38475,39605,39024,39858,40051,36397,36783,36877,37799,38817,40005,39558,40396,12172308088,11522173016,11573664893,11738547875,11478651571,11063861239,10501618311,10305777286,22696,21680,21647,21745,20964,20172,19149,18532,12640,12126,12307,12035,11488,11226,10753,10390,9033,8624,8399,8772,8591,8090,7558,7176,1023,930,941,938,886,856,838,965,23113,21687,21628,21822,21152,20256,19061,18588,164509,165742,166275,167056,167790,169038,170245,171060,18694,18579,18536,18385,17987,16922,16393,16022,35819,36225,36621,36641,37654,38274,39410,38840
DELAWARE,DELAWARE,84852,83645,84105,83409,82971,81303,79585,79106,10532,10216,10299,10090,10035,9993,9716,9569,10828,10362,10323,10314,10138,9990,9983,9758,10810,10498,10482,10251,10414,9965,9699,9887,11078,10754,10683,10352,10291,10209,9619,9900,10697,10838,10612,10533,10278,10069,10089,9691,10423,10602,10854,10532,10529,10220,9963,10138,10227,10327,10653,10793,10554,10487,10123,9943,10257,10048,10199,10544,10732,10370,10393,10220,2360865855,2297342564,2247039457,2128884610,2054363275,2075064871,1993274813,1978562250,16519,16296,20035,16247,15502,14960,14799,14514,4895,5095,8936,5565,5204,4713,4600,4182,10248,9865,9714,9329,8947,8877,8708,8502,1376,1336,1385,1354,1351,1370,1491,1829,17058,16856,16490,15787,15326,15758,15449,15344,41652,40903,40504,39845,39346,38483,38022,38322,2081,1802,1761,1553,1520,1413,1291,1402,9820,9943,9894,10040,10205,10488,10128,10116
DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,49224,47950,46680,44996,43084,41239,39377,38259,4903,4567,4557,4430,4525,4425,4202,4328,5159,4971,4655,4603,4412,4617,4559,4248,5803,5270,5024,4703,4598,4452,4627,4560,6153,6159,5596,5250,4792,4648,4575,4816,6372,6339,6295,5701,5264,4826,4631,4643,6627,6602,6590,6464,5827,5479,4991,4805,6931,6820,6825,6789,6645,6005,5629,5102,7276,7222,7138,7056,7021,6787,6163,5757,2676954176,2628028094,2625828713,2352758103,2192124263,2185683335,2058765543,1880466422,29120,29200,29425,27067,27810,27758,27508,28055,26782,26817,26654,24375,25117,25107,24880,25237,–,–,–,–,–,–,–,–,2338,2384,2770,2692,2693,2651,2628,2818,30250,30098,30586,28001,27077,27967,27039,25442,18912,19173,19052,18884,17634,17717,17577,17261,12866,12727,12544,12316,12049,11867,11428,10831,7491,7465,7574,7319,7273,7174,6980,6358
FLORIDA,FLORIDA,1729276,1719515,1707618,1692825,1670530,1647922,1626947,1617862,213637,211073,208336,206785,210397,206698,204116,200378,220936,210658,208241,204343,202115,207253,205469,204288,219451,219942,209332,206055,201637,200499,204704,204229,223379,215793,217601,206157,201817,197996,197412,202733,214698,220504,212595,215435,202424,198411,195358,195625,220993,226346,232380,224595,219757,212806,209027,206732,209155,207609,213263,217768,216358,208256,202517,200381,207027,207590,205870,211687,216025,216003,208344,203496,32216750104,30925475628,29875971315,28897234429,28033934190,27177777616,25860890373,25827410633,11113,10633,10227,10002,9717,9518,9103,8991,5582,5251,5032,4919,4692,4504,4444,4559,4287,4171,4028,3927,3867,3845,3512,3262,1243,1212,1167,1157,1158,1170,1147,1170,11318,10918,10606,10349,10168,9989,9606,9680,852097,851483,847781,839773,823249,807034,799602,792054,64164,61241,60332,60122,58613,56470,55124,54938,200907,200185,201060,199514,204552,209318,210489,203302
