ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a State based table with the following filters applied: State(s) (All Years): All 50 + DC

State Name,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2020-21,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2019-20,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2018-19,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2017-18,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2016-17,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2015-16,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2014-15,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2013-14,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2012-13,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2011-12,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2010-11,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2009-10,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2008-09,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2007-08,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2006-07,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2005-06,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2004-05,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2003-04,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2002-03,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2001-02,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2000-01,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 1999-00,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 1998-99,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 1997-98,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 1996-97,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 1995-96,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 1994-95,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 1993-94,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 1992-93,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 1991-92,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 1990-91,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 1989-90,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 1988-89,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 1987-88,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 1986-87
ALABAMA,7880052475,7546680182,7475960652,7214075082,7097471739,6885677013,6806466807,6742829333,6532358451,6386517346,6592924850,6670516709,6683843310,6832439210,6245031142,5699076119,5164405538,4812478697,4657642806,4444390391,4354793716,4176081542,3880187507,3633158852,3436405572,3240363866,3026286626,2809712531,2610514429,2465522598,2475216097,2275232609,2188020276,1873390358,1775996940
ALASKA,2537694335,2417640580,2408810046,2355260899,2367707366,2319661984,2648552160,2418000231,2395354450,2292205129,2201270165,2084019491,2007319038,1918374844,1634316198,1529644701,1442268817,1354845645,1326226326,1284854317,1229035602,1183498948,1137609569,1092750100,1069379162,1045021889,1020675254,1002514861,967765154,931869162,854498792,828050772,739019677,756576974,769014500
ARIZONA,10508679864,9830663062,9827893130,9182463614,8966684252,8551672912,8370883995,8220538920,8164529035,7974544696,8340210752,8587888884,8726755413,8403220614,7815720283,7130341351,6579956679,6071785452,5892226946,5395814320,4846105018,4288739348,3963455209,3740889242,3527472705,3327968634,3144539824,2911304107,2753504362,2599586461,2469543236,2258660277,2143148037,2002394672,1836907561
ARKANSAS,5465366436,5152467745,5156738439,5044097974,4936464620,4872213671,4813320614,4778074429,4637168808,4606994619,4578136382,4459909739,4240839481,4156367988,3997700616,3808010956,3546998578,3109644398,2923401465,2822876621,2505178887,2380330864,2241243666,2149237197,2074113445,1994747951,1873595350,1782644997,1703620889,1656201053,1510092209,1404545412,1319370360,1211156484,1118904062
CALIFORNIA,89468024926,86541408473,86755736798,79838725563,76663731426,72003128588,65953945992,61050893703,58323458467,57975188702,57526834875,58248661998,60080929319,61570554977,57352599016,53436102808,50918654264,49215865863,47983401585,46265544169,42908787194,38129479084,34379877674,32759491610,29909167815,27334639191,25949033059,25140639448,24219791980,23696862717,22748217869,21485782230,19417178019,17402063114,16512667505
COLORADO,10803823713,10636149703,10092540072,9319501737,8913931106,8648369439,8260461186,7924318638,7506977869,7341585450,7409461742,7429302014,7187266665,7338766443,6579052978,6368289289,5994439919,5666190602,5551506246,5151002581,4758173023,4401010393,4140699153,3886872269,3577210676,3360529083,3232976454,2954793289,2919916494,2754086608,2642849585,2451833286,2324625055,2172563050,2129963776
CONNECTICUT,11309001518,10939431848,11133062937,10703917004,10664567103,10551327397,10321511036,10050438555,9543010253,9344998948,9094036286,8853337400,8708293659,8336789224,7855458525,7517024954,7080395894,6600767267,6302987649,6031062086,5693207483,5402836359,5075580308,4763653298,4522717620,4366123098,4247327586,3943890970,3739496738,3665505105,3540410936,3444519613,2984542320,2748566896,2414708162
DELAWARE,2290818845,2347576730,2204611392,2082802954,2029228898,1941407912,1860732151,1816383229,1761558838,1751142718,1613304164,1549811949,1518785882,1489594218,1437706882,1405465255,1299348584,1201630850,1127745479,1072875064,1027224401,937630137,872785939,830731124,788715041,726240751,694472704,643915009,600160615,572152449,543932607,520953061,479327029,440631052,418116196
DISTRICT OF COLUMBIA,2257263152,2134996014,2033938644,2022310443,1936852209,1775833330,1668527670,1608142317,1563147649,1466887610,1482201876,1451869711,1352904776,1282436803,1130005861,1057165762,1067499927,1011535630,902317945,912431570,830298758,780192414,693712341,647201640,632951865,679106047,666938372,713427440,670677327,677422488,647901182,639982716,584034731,489357000,441135000
FLORIDA,30214859244,29455335862,28425418085,27371046278,26404134668,25621239030,25123548439,24363817459,23214633617,22732752476,23870090268,23349314005,23328028223,24224113873,22887023787,20897327213,19042877250,17578883968,16355122722,15535864063,15023513573,13885987650,13534374127,12737324518,12018675792,11480359140,11019734829,10331895738,9661012402,9314079237,9045710305,8228530992,7245515149,6288977480,5650082999
