Jurisdiction,MN,SigDiff,SigSymbol,AB,AP
Massachusetts,297,16,▲,81,51
New Hampshire,294,13,▲,84,46
Minnesota,294,13,▲,82,48
New Jersey,293,12,▲,79,46
DoDEA,291,9,▲,83,40
Vermont,290,9,▲,79,42
Wisconsin,289,8,▲,78,41
North Dakota,288,7,▲,80,39
Virginia,288,6,▲,76,38
Montana,287,6,▲,79,39
Indiana,287,6,▲,77,39
Wyoming,287,5,▲,78,35
Washington,287,5,▲,74,39
Nebraska,286,5,▲,77,38
Iowa,286,5,▲,76,37
Utah,286,5,▲,76,38
Colorado,286,4,▲,73,37
Ohio,285,4,▲,75,35
Maine,285,4,▲,76,35
South Dakota,285,3,▲,77,34
Connecticut,284,3,▲,72,36
Kansas,284,3,♦,76,33
Texas,284,3,▲,75,32
Idaho,284,2,▲,75,34
Pennsylvania,284,2,♦,72,36
Maryland,283,2,♦,71,35
Arizona,283,2,♦,72,35
Oregon,283,2,♦,73,34
Illinois,282,1,♦,72,32
Rhode Island,281,#,♦,72,32
North Carolina,281,#,♦,69,33
National public,281,†,,70,32
Missouri,281,#,♦,71,31
Alaska,280,-1,♦,71,32
New York,280,-1,♦,69,31
Delaware,280,-1,♦,69,30
Hawaii,279,-2,▼,70,30
Georgia,279,-3,♦,67,28
Tennessee,278,-3,♦,68,29
Michigan,278,-3,▼,68,29
Kentucky,278,-3,▼,68,28
South Carolina,276,-5,▼,65,26
California,275,-6,▼,64,27
Florida,275,-6,▼,64,26
Nevada,275,-6,▼,65,26
Arkansas,275,-6,▼,66,25
Oklahoma,275,-7,▼,67,23
West Virginia,271,-10,▼,62,21
New Mexico,271,-10,▼,61,21
Mississippi,271,-11,▼,60,22
Louisiana,268,-13,▼,57,18
Alabama,267,-15,▼,56,17
District of Columbia,263,-18,▼,51,19
Puerto Rico,222,-59,▼,6,#
