Jurisdiction,MN,SigDiff,SigSymbol,AB,AP
DoDEA,277,13,▲,90,47
New Hampshire,275,11,▲,85,45
Massachusetts,274,11,▲,83,46
Vermont,274,10,▲,83,44
Connecticut,273,9,▲,82,43
New Jersey,271,7,▲,80,41
Minnesota,270,6,▲,81,40
Montana,270,6,▲,82,37
Wisconsin,270,6,▲,79,39
Utah,269,5,▲,81,38
Nebraska,269,5,▲,81,38
Wyoming,269,5,▲,81,36
Pennsylvania,269,5,▲,78,39
Idaho,269,5,▲,81,37
Maine,268,4,▲,81,36
Indiana,268,4,▲,80,37
Iowa,268,4,▲,81,36
Colorado,268,4,▲,78,38
Maryland,268,4,▲,76,37
Kentucky,268,4,▲,78,36
Oregon,268,4,▲,79,36
Washington,267,3,▲,77,37
South Dakota,267,3,▲,80,34
North Dakota,267,3,▲,80,34
Missouri,267,3,▲,77,36
Virginia,267,3,▲,77,36
Illinois,267,3,▲,77,35
Kansas,267,3,▲,79,35
Ohio,266,2,♦,76,36
Rhode Island,265,1,♦,76,35
Tennessee,265,1,♦,76,33
Michigan,264,1,♦,76,32
National public,264,†,,75,33
Florida,263,-1,♦,75,30
New York,263,-1,♦,73,33
Arizona,263,-1,♦,74,31
Oklahoma,263,-1,♦,76,29
Delaware,263,-1,♦,73,31
Georgia,262,-2,♦,73,30
Texas,261,-3,▼,72,28
North Carolina,261,-3,▼,72,30
South Carolina,260,-4,▼,71,28
Alaska,260,-4,▼,71,31
West Virginia,260,-4,▼,72,27
Nevada,259,-5,▼,71,27
California,259,-5,▼,70,28
Arkansas,259,-5,▼,70,27
Alabama,259,-5,▼,71,26
Hawaii,257,-7,▼,68,26
Louisiana,255,-9,▼,66,23
New Mexico,253,-11,▼,65,20
Mississippi,252,-12,▼,63,20
District of Columbia,248,-16,▼,56,19
Puerto Rico,—,†,,—,—
