Year,Jurisdiction,Earned at least 1 credit in architecture and construction courses? (SCED),Average,Standard Error (Average),Percentage,Standard Error (Percentage)
2019,National,No,20.77,0.307,93.0,1.0
2009,National,No,21.48,0.173,94.0,0.7
2000,National,No,21.82,0.211,92.0,1.5
1990,National,No,20.05,0.232,92.0,1.3
2019,National,Yes,18.23,0.474,7.0,1.0
2009,National,Yes,19.35,0.361,6.0,0.7
2000,National,Yes,19.76,0.379,8.0,1.5
1990,National,Yes,18.2,0.523,8.0,1.3
2019,National,Missing,,,,
2009,National,Missing,,,,
2000,National,Missing,,,,
1990,National,Missing,,,,
