Year,Jurisdiction,Earned at least 3 credits in architecture and construction courses? (SCED),Average,Standard Error (Average),Percentage,Standard Error (Percentage)
2019,National,No,20.62,0.292,99.0,0.2
2009,National,No,21.4,0.17,99.0,0.2
2000,National,No,21.7,0.202,99.0,0.5
1990,National,No,19.95,0.229,99.0,0.3
2019,National,Yes,,,1.0,0.2
2009,National,Yes,,,1.0,0.2
2000,National,Yes,,,1.0,0.5
1990,National,Yes,,,1.0,0.3
2019,National,Missing,,,,
2009,National,Missing,,,,
2000,National,Missing,,,,
1990,National,Missing,,,,
