Year,Jurisdiction,"Earned at least 1 credit in agriculture, food, and natural resources courses? (SCED)",Average,Standard Error (Average),Percentage,Standard Error (Percentage)
2019,National,No,20.82,0.309,89.0,1.5
2009,National,No,21.58,0.172,90.0,1.3
2000,National,No,21.84,0.209,91.0,1.8
1990,National,No,20.1,0.216,93.0,1.4
2019,National,Yes,18.71,0.303,11.0,1.5
2009,National,Yes,19.35,0.296,10.0,1.3
2000,National,Yes,19.83,0.472,9.0,1.8
1990,National,Yes,17.49,0.655,7.0,1.4
2019,National,Missing,,,,
2009,National,Missing,,,,
2000,National,Missing,,,,
1990,National,Missing,,,,
