Year,Jurisdiction,"Earned at least 1 credit in agriculture, food, and natural resources courses? (SCED)",Average,Standard Error (Average),Percentage,Standard Error (Percentage)
2019,National,No,525.01,4.661,93.0,1.5
2009,National,No,483.38,10.544,98.0,0.8
2000,National,No,526.73,6.213,95.0,1.5
1990,National,No,436.89,6.23,99.0,0.3
2019,National,Yes,497.19,9.936,7.0,1.5
2009,National,Yes,,,2.0,0.8
2000,National,Yes,482.87,19.011,5.0,1.5
1990,National,Yes,,,1.0,0.3
2019,National,Missing,,,,
2009,National,Missing,,,,
2000,National,Missing,,,,
1990,National,Missing,,,,
