Year,Jurisdiction,Earned at least 1 credit in manufacturing courses? (SCED),Average,Standard Error (Average),Percentage,Standard Error (Percentage)
2019,National,No,524.61,4.672,96.0,1.0
2009,National,No,483.96,10.748,98.0,0.8
2000,National,No,524.86,5.734,94.0,3.2
1990,National,No,438.66,6.096,96.0,0.7
2019,National,Yes,482.66,9.7,4.0,1.0
2009,National,Yes,,,2.0,0.8
2000,National,Yes,519.86,48.009,6.0,3.2
1990,National,Yes,381.07,17.28,4.0,0.7
2019,National,Missing,,,,
2009,National,Missing,,,,
2000,National,Missing,,,,
1990,National,Missing,,,,
