Year,Jurisdiction,Earned at least 3 credits in manufacturing courses? (SCED),Average,Standard Error (Average),Percentage,Standard Error (Percentage)
2019,National,No,20.62,0.295,99.0,0.2
2009,National,No,21.37,0.167,100.0,0.1
2000,National,No,21.69,0.205,99.0,0.2
1990,National,No,19.93,0.223,99.0,0.4
2019,National,Yes,,,1.0,0.2
2009,National,Yes,,,,0.1
2000,National,Yes,,,1.0,0.2
1990,National,Yes,,,1.0,0.4
2019,National,Missing,,,,
2009,National,Missing,,,,
2000,National,Missing,,,,
1990,National,Missing,,,,
