Year,Jurisdiction,"Earned at least 1 credit in transportation, distribution, and logistics courses? (SCED)",Average,Standard Error (Average),Percentage,Standard Error (Percentage)
2019,National,No,20.72,0.299,96.0,0.6
2009,National,No,21.46,0.173,96.0,0.5
2000,National,No,21.74,0.206,96.0,1.1
1990,National,No,19.89,0.22,97.0,0.8
2019,National,Yes,17.19,0.464,4.0,0.6
2009,National,Yes,18.36,0.345,4.0,0.5
2000,National,Yes,19.52,0.585,4.0,1.1
1990,National,Yes,20.63,0.758,3.0,0.8
2019,National,Missing,,,,
2009,National,Missing,,,,
2000,National,Missing,,,,
1990,National,Missing,,,,
