Year,Jurisdiction,"Earned at least 1 credit in transportation, distribution, and logistics courses? (SCED)",Average,Standard Error (Average),Percentage,Standard Error (Percentage)
2019,National,No,526.72,4.89,94.0,1.4
2009,National,No,484.59,10.954,96.0,1.1
2000,National,No,525.5,6.095,97.0,0.7
1990,National,No,437.49,6.314,98.0,0.6
2019,National,Yes,464.09,9.141,6.0,1.4
2009,National,Yes,,,4.0,1.1
2000,National,Yes,488.48,14.678,3.0,0.7
1990,National,Yes,,,2.0,0.6
2019,National,Missing,,,,
2009,National,Missing,,,,
2000,National,Missing,,,,
1990,National,Missing,,,,
